Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1770899966,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1770899967,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1770899968,6,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1770899969,8,,Aggregated,0.000000,0.000000,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2,2,2100.0,2226.188500004355,2073.54560001113,2378.83139999758,232.5
1770899970,10,,Aggregated,0.000000,0.000000,2100,2100,2400,2400,2400,2400,2400,2400,2400,2400,2400,4,4,2100.0,2136.9589250025456,2040.0538999965647,2378.83139999758,232.25
1770899971,10,,Aggregated,0.000000,0.000000,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,2400,7,7,2100.0,2101.5392142892647,2040.0538999965647,2378.83139999758,227.85714285714286
1770899972,10,,Aggregated,0.666667,0.666667,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,2400,10,10,2100.0,2089.2394400027115,2040.0538999965647,2378.83139999758,226.3
1770899973,10,,Aggregated,1.000000,1.000000,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,13,13,2100.0,2082.592430770791,2040.0538999965647,2378.83139999758,225.46153846153845
1770899974,10,,Aggregated,1.400000,1.400000,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,14,14,2100.0,2081.4643571440165,2040.0538999965647,2378.83139999758,223.78571428571428
1770899975,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770899976,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770899977,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
1770899978,10,,Aggregated,1.666667,1.666667,2100,2100,2100,2100,2100,2400,2400,2400,2400,2400,2400,15,15,2100.0,2078.93939333444,2040.0538999965647,2378.83139999758,222.4
