Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/admin/users,48,48,2022.607799997786,2038.8729749999281,2022.607799997786,2054.5802999986336,281.625,0.8273550763171849,0.8273550763171849,2000,2000,2000,2000,2100,2100,2100,2100,2100,2100,2100
POST,/api/v1/auth/login,10,0,2500.0,2451.273809999111,2356.4972000021953,2521.104600004037,724.1,0.17236564089941353,0.0,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
POST,/api/v1/auth/register,5,5,12000.0,12029.887960004271,10002.90349998977,14007.8799000039,417.8,0.08618282044970677,0.08618282044970677,12000,13000,13000,14000,14000,14000,14000,14000,14000,14000,14000
GET,/api/v1/history/stats,25,0,2025.6313999998383,2046.2356679997174,2025.6313999998383,2076.614600009634,228.2,0.4309141022485338,0.0,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/api/v1/history?page=1&per_page=20,4,0,2061.4067999995314,2051.2240000025486,2030.3341000108048,2061.4067999995314,754.75,0.06894625635976541,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/api/v1/history?page=2&per_page=20,7,7,2034.9387000023853,2043.888428572765,2034.9387000023853,2057.4905999965267,282.0,0.12065594862958946,0.12065594862958946,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/api/v1/history?page=3&per_page=20,3,3,2065.153500007,2054.350166664032,2044.428399996832,2065.153500007,281.3333333333333,0.051709692269824054,0.051709692269824054,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
POST,/api/v1/predict,5,0,2101.9751999992877,2133.354320001672,2101.9751999992877,2189.7557000047527,596.8,0.08618282044970677,0.0,2100,2100,2100,2200,2200,2200,2200,2200,2200,2200,2200
GET,/api/v1/profile,7,0,2067.396099999314,2053.443685714488,2035.5769000016153,2067.396099999314,356.2857142857143,0.12065594862958946,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
,Aggregated,114,63,2022.607799997786,2521.0527657896787,2022.607799997786,14007.8799000039,349.719298245614,1.964968306253314,1.085903537666305,2000,2100,2100,2100,2400,2500,12000,13000,14000,14000,14000
